/content/tts-engine/gdrive/My Drive/wavs/001001.wav|be nAm xodAvand baxSande baxSAyeSgar
/content/tts-engine/gdrive/My Drive/wavs/013015.wav|tamAm kasAni ke dar AsmAnhA va zamin hastand az ruy etA?at yA ekrAh va hamCenin sAyehAyeSAn har sobh va asr barAy xodA sajde mikanand
/content/tts-engine/gdrive/My Drive/wavs/013019.wav|AyA kasi ke midAnad AnCe az taraf parvardegArt bor to nAzel Sode haq est hamAnand kasi est ke nAbinAst tanahA sAhebAn andiSe motezaker miSavand
/content/tts-engine/gdrive/My Drive/wavs/013020.wav|AnhA ke be ahd elAhi vafA mikanand va peymAn rA nemiSekanand
/content/tts-engine/gdrive/My Drive/wavs/013021.wav|va AnhA ke peyvandhAyi rA ke xodA dastur be barqarAri An dAde barqarAr midArand va az parvardegArSAn mitarsand va az badi hesAb ruz qiyAmat bim dArand
/content/tts-engine/gdrive/My Drive/wavs/013023.wav|hamAn bAqhAye jAvidAn beheSti ke vAred An miSavand va hamCenin pedarAn va hamsarAn va farzandAn sAleh AnhA va fereStegAn az har dari bor AnAn vAred migardand
/content/tts-engine/gdrive/My Drive/wavs/013024.wav|va be AnAn miguyand salAm bor SomA bexAtere sabr va esteqAmattAn Ce nikust sar_?anjAm An sorAy jAvidAn
/content/tts-engine/gdrive/My Drive/wavs/013025.wav|AnhA ke ahd elAhi rA pas az mohkam kardan miSekanand va peyvandhAyi rA ke xodA dastur be barqarAri An dAde qat? mikanand va dar ruy zamin fesAd minamAyand la?nat barAy AnhAst va badi va mojAzAt sorAy Axarat
/content/tts-engine/gdrive/My Drive/wavs/013027.wav|kasAni ke kAfar Sodand miguyand CarA Aye va mo?ajazhAye az parvardegAreS bor u nAzel naSode est begu xodAvand har kas rA bexAhad gomrAh va har kas rA ke bAzgardad be suy xodeS hedAyat mikand kambudi dar ma?jazehA nist lejAjat AnhA mAne? est
/content/tts-engine/gdrive/My Drive/wavs/013028.wav|AnhA kasAni hastand ke imAn Avardeand va delhAyeSAn be yAd xodA motm?en va ArAm est AgAh bASid tanahA bA yAd xodA delhA ArAmeS miyAbad
/content/tts-engine/gdrive/My Drive/wavs/013029.wav|AnhA ke imAn Avardand va kArhAy Sayeste anjAm dAdand pAkizetarin zandginsibSAn est va behtarin sar_?anjAmhA
/content/tts-engine/gdrive/My Drive/wavs/013032.wav|tanahA to rA estehzA nakardand payAmbarAn piS az to rA niz mored estehzA qarAr dAdand man be kAfarAn mohlat dAdam sepas AnhA rA gereftam didi mojAzAt man Cegune bud
/content/tts-engine/gdrive/My Drive/wavs/013034.wav|dar donyA barAy AnhA azAbi dardnAk est va azAb Axarat saxtar est va dar barAbar azAb xodA hiC kas nemitavAnad AnhA rA negah dArad
/content/tts-engine/gdrive/My Drive/wavs/013035.wav|tosif beheSti ke be parhizgArAn va?de dAde Sode in est ke nahrahAy Ab az zir deraxtAneS jAri est mive An hamiSegi va sAye?AS dA?emi est in sar_?anjAm kasAni est ke parhizgAri piSe kardand va sar_?anjAm kAfarAn AtaS est
/content/tts-engine/gdrive/My Drive/wavs/013038.wav|mA piS az to niz rasulAni ferestAdim va barAy AnhA hamsarAn va farzandAni qarAr dAdim va hiC rasuli nemitavAnest az piS xod ma?jazei biyAvard magar befarmAn xodA har zamAni neveStei dArad va barAy har kAri mo?edi moqarrar est
/content/tts-engine/gdrive/My Drive/wavs/013039.wav|xodAvand har Ce rA bexAhad mahv va har Ce rA bexAhad esbAt mikand va em elektAb loh mahfuz nazd ust
/content/tts-engine/gdrive/My Drive/wavs/013040.wav|va agar pArei az mojAzAthA rA ke be AnhA va?de midahim be to neSAn dahim yA piS az ferA rasidan in mojAzAthA to rA bemirAnim dar har hAl to faqat ma?mur eblAq hasti va hesAb AnhA barmAst
/content/tts-engine/gdrive/My Drive/wavs/013042.wav|piS az AnAn niz kasAni tarhan va naqSehA keSidand vali tamAm tarhan va naqSehA az An xodAsat u az kAr har kas AgAh est va bezudi kofAr midAnand sar_?anjAm nik va bad dar sorAy digar az An kist
/content/tts-engine/gdrive/My Drive/wavs/013043.wav|AnhA ke kAfar Sodand miguyand to payAmbar nisti begu kAfi est ke xodAvand va kasi ke elm ketAb va AgAhi bor qorAn nazd ust miyAn man va SomA govAh bASand
/content/tts-engine/gdrive/My Drive/wavs/014002.wav|hamAn xodAyi ke AnCe dar AsmAnhA va AnCe dar zamin est az An ust vAy bor kAfarAn az mojAzAt Sodid elAhi
/content/tts-engine/gdrive/My Drive/wavs/014003.wav|hamAnhA ke zendegi donyA rA bor Axarat tarjih midahand va mardom rA az rAh xodA bAz midArand va mixAhand rAh haq rA monharef sAzand AnhA dar gomrAhi duri hastand
/content/tts-engine/gdrive/My Drive/wavs/014005.wav|mA musA rA bA AyAt xod ferestAdim va dastur dAdim qomat rA az zolamAt be nur birun Ar va ayAm allAh rA be AnAn yAd Avar dar in neSAnehAyi est barAy har sabr konande SokrgozAr
/content/tts-engine/gdrive/My Drive/wavs/014007.wav|va hamCenin be xAter biyAvarid hengAmi rA ke parvardegArtAn e?lAm dASt agar SokrgozAri kanid ne?mat xod rA bor SomA xAham Afzud va agar nAsepAsi kanid mojAzAtem Sodid est
/content/tts-engine/gdrive/My Drive/wavs/014008.wav|va musA be bani esrA?il goft agar SomA va hame mardom ruy zamin kAfar Savid be xodA ziyAni nemirasad CarA ke xodAvand biniyAz va Sayeste setAyeS est
/content/tts-engine/gdrive/My Drive/wavs/014012.wav|va CarA bor xodA tavakol nakanim bA inke mA rA be rAhhAye sa?Adat rahbari karde est va mA betor mosalam dar barAbar AzArhAy SomA sabr xAhim kord va dast az resAlat xiS bor nemidArim va tavakolkonandegAn bAyad faqat bor xodA tavakol konand
/content/tts-engine/gdrive/My Drive/wavs/014013.wav|vali kAfarAn be payAmbarAn xod goftand mA qat?an
/content/tts-engine/gdrive/My Drive/wavs/014014.wav|va SomA rA ba?d az AnAn dar zamin sokut xAhim dAd in movafaqiyat barAy kasi est ke az maqAm edAlat man betarsad va az azAb man bimnAk bASad
/content/tts-engine/gdrive/My Drive/wavs/014015.wav|va AnhA az xodA taqAzAy fath va piruzi bor kofAr kardand va sar_?anjAm har gardankeS monharefi nomid va nAbud Sod
/content/tts-engine/gdrive/My Drive/wavs/014016.wav|be donbAl u jahanam xAhad bud va az Ab bad buy mote?afeni nuSAnde miSavad
/content/tts-engine/gdrive/My Drive/wavs/014017.wav|bezahmat jor?e jor?e An rA sarmikeSad va hargez hAzer nist be meyl xod An rA biyASAmad va marg az harjA be sorAq u miAyad vali bA in hame nemimirad va bedonbAle An azAb Sadidi est
/content/tts-engine/gdrive/My Drive/wavs/014018.wav|e?mAl kasAni ke be parvardegArSAn kAfar Sodand hamCon xAkestari est dar barAbar tondbAd dar yek ruz tufAni AnhA tavAnAyi nadArand kamtarin Cizi az AnCe rA anjAm dAdeand be dast Avarand va in hamAn gomrAhi dur va derAz est
/content/tts-engine/gdrive/My Drive/wavs/014019.wav|AyA nadidi xodAvand AsmAnhA va zamin rA behaq Afaride est agar bexAhad SomA rA miborad va xalq tAzei miAvard
/content/tts-engine/gdrive/My Drive/wavs/014020.wav|va in kAr barAy xodA moSkel nist
/content/tts-engine/gdrive/My Drive/wavs/014023.wav|va kasAni rA ke imAn Avardand va e?mAl sAleh anjAm dAdand be bAqhAye beheSt vAred mikanand bAqhAyi ke nahrahA az zir deraxtAneS jAri est be ezn parvardegArSAn jAvdAne dar An mimAnand va tahiyat AnhA dar An salAm est
/content/tts-engine/gdrive/My Drive/wavs/014024.wav|AyA nadidi Cegune xodAvand kalame teybe va goftAr pAkize rA be deraxt pAkizei taSbih karde ke riSe An dar zamin sAbet va SAxe An dar AsemAn est
/content/tts-engine/gdrive/My Drive/wavs/014025.wav|har zamAn mive xod rA be ezn parvardegAreS midahad va xodAvand barAy mardom masalhA mizanad SAyad motezaker Savand va pand girand
/content/tts-engine/gdrive/My Drive/wavs/014026.wav|hamCenin kalame xabise va soxan Alude rA be deraxt nApAki taSbih karde ke az ruy zamin barkonde Sode va qarAr va sobAti nadArad
/content/tts-engine/gdrive/My Drive/wavs/014028.wav|AyA nadidi kasAni rA ke ne?mat xodA rA be kafarAn tabdil kardand va qom xod rA be sorAy nisti va nAbudi keSAndand
/content/tts-engine/gdrive/My Drive/wavs/014029.wav|sorAy nisti va nAbudi hamAn jahanam est ke AnhA dar AtaS An vAred miSavand va bad qarArgAhi est
/content/tts-engine/gdrive/My Drive/wavs/014030.wav|AnhA barAy xodA hamtAyAni qarAr dAdeand tA mardom rA az rAh u monharef va gomrAh sAzand begu Cand ruzi az zendegi donyA va lazAt An bohre girid amA Aqebat kAr SomA be suy AtaS duzax est
/content/tts-engine/gdrive/My Drive/wavs/014031.wav|be bandegAn man ke imAn Avardeand begu namAz rA barpA dArand va az AnCe be AnhA ruzi dAdeim penhAn va ASkAr anfAq konand piS az Anke ruzi ferA rasad ke noh dar An xarid va foruS est va noh dusti noh bA mAl mitavAnand az keyfar xodA rahAyi yAband va noh bA peyvandhAy mAdi
/content/tts-engine/gdrive/My Drive/wavs/014033.wav|va xorSid va mAh rA ke bA barnAme monazami darkArand be tasxir SomA darAvard va Sab va ruz rA niz mosaxar SomA sAxt
/content/tts-engine/gdrive/My Drive/wavs/014034.wav|va az har Cizi ke az u xAstid be SomA dAd va agar ne?mathAye xodA rA beSomArid hargez AnhA rA SomAre natavAnid kord ensAn setamgar va nAsepAs est
/content/tts-engine/gdrive/My Drive/wavs/014035.wav|be yAd Avarid zamAni rA ke ebrAhim goft parvardegArA in Sahr make rA Sahr amni qarAr deh va man va farzandAnam rA az parasteS bethA dur negAh dAr
/content/tts-engine/gdrive/My Drive/wavs/014036.wav|parvardegArA AnhA bethA besyAri az mardom rA gomrAh sAxtand har kas az man peyravi konad az man est va har kas nAfarmAni man konad to baxSande va mehrbAni
/content/tts-engine/gdrive/My Drive/wavs/014038.wav|parvardegArA to midAni AnCe rA mA penhAn va yA ASkAr mikanim va Cizi dar zamin va AsemAn bor xodA penhAn nist
/content/tts-engine/gdrive/My Drive/wavs/014039.wav|hamd xodAy rA ke dar piri esmA?il va eshAq rA be man baxSid mosalaman
/content/tts-engine/gdrive/My Drive/wavs/014040.wav|parvardegArA marA barpA konande namAz qarAr deh va az farzandAnam niz Cenin farmA parvardegArA do?Ay marA bepazir
/content/tts-engine/gdrive/My Drive/wavs/014041.wav|parvardegArA man va pedar va mAdaram va hame mo?menAn rA dar An ruz ke hesAb barpA miSavad biyAmorz
/content/tts-engine/gdrive/My Drive/wavs/014042.wav|gomAn mabor ke xodA az AnCe zAlemAn anjAm midahand qAfel est noh balke keyfar AnhA rA barAy ruzi ta?xir AndAxte est ke CeSmhA dar An be xAter tars va vahSat az harkat bAzmistad
/content/tts-engine/gdrive/My Drive/wavs/014043.wav|gerdenhA rA keSide sarhA rA be AsemAn bolandkarde hatA pelk CeSmhAyeSAn az harkat bAzmimAnad zirA be har taraf negAh konand AsAr azAb ASkAr est va dar in hAl delhAyeSAn forumirizad va az andiSe va omid xAli migardad
/content/tts-engine/gdrive/My Drive/wavs/014045.wav|Ari SomA budid ke dar manAzel va kAxhAy kasAni ke be xiStan setam kardand sAken Sodid va barAy SomA ASkAr Sod Cegune bA AnAn raftAr kardim va barAy SomA masalhA az sargozaSt piSiniyAn zadim bAz ham bidAr naSodid
/content/tts-engine/gdrive/My Drive/wavs/014046.wav|AnhA nahAyat makr va neyrang xod rA be kAr zadand va hame mokarahA va tote?ehAyeSAn nazd xodA ASkAr est har Cand mokarSAn CenAn bASad ke kuhA rA az jA barkonad
/content/tts-engine/gdrive/My Drive/wavs/014047.wav|pas gomAn mabor ke xodA va?dei rA ke be payAmbarAneS dAde taxalof konad CarA ke xodAvand qAder va enteqAm girande est
/content/tts-engine/gdrive/My Drive/wavs/014048.wav|dar An ruz ke in zamin be zamin digar va AsmAnhA be AsemAnhAye digari mobdel miSavad va AnAn dar piSgAh xodAvand vAhed qahAr zAher migardand
/content/tts-engine/gdrive/My Drive/wavs/014049.wav|va dar An ruz mojremAn rA bA ham dar qol va zanjir mibini ke dasthA va gerdnahAyeSAn rA be ham baste est
/content/tts-engine/gdrive/My Drive/wavs/014050.wav|lebAshAyeSAn az qatrAn mAde Casbande bad buy qAbel eSte?Al est va surathAyeSAn rA AtaS mipuSAnad
/content/tts-engine/gdrive/My Drive/wavs/014051.wav|tA xodAvand har kas rA har AnCe anjAm dAde jozA dahad be yaqin xodAvand sari? alhesAb est
/content/tts-engine/gdrive/My Drive/wavs/014052.wav|in qorAn payAm va eblAqi barAy omom mardom est tA hame be vasile An anzAr Savand va bedAnand u xodA yektAst va tA sAhebAn maqz va andiSe pand girand
/content/tts-engine/gdrive/My Drive/wavs/015001.wav|alr in AyAt ketAb va qorAn mobayan est
/content/tts-engine/gdrive/My Drive/wavs/015002.wav|kAfarAn hengAmi ke AsAr Savam e?mAl xod rA bebinand Ce besA Arezu mikanand ke ey kAS mosalmAn budand
/content/tts-engine/gdrive/My Drive/wavs/015003.wav|begozAr AnhA bexorand va bohre girand va ArezuhA AnAn rA qAfel sAzad vali bezudi xAhand fahmid
/content/tts-engine/gdrive/My Drive/wavs/015004.wav|mA ahl hiC Sahr va diyAri rA holAk nakardim magar inke ajal mo?ayan va zamAn taqyir nApaziri dAStand
/content/tts-engine/gdrive/My Drive/wavs/015005.wav|hiC goruhi az ajal xod piSi nemigirad va az An aqab naxAhad oftAd
/content/tts-engine/gdrive/My Drive/wavs/015006.wav|va goftand ey kasi ke zekr qorAn bor u nAzel Sode mosalaman
/content/tts-engine/gdrive/My Drive/wavs/015007.wav|agar rAst miguyi CarA fereStegAn rA nazd mA nemizuri
/content/tts-engine/gdrive/My Drive/wavs/015008.wav|amA inhA bAyad bedAnand mA fereStegAn rA joz behaq nAzel nemikanimo hargAh nAzel Savand digar be inhA mohlat dAde nemiSavad va dar surat enkAr be azAb elAhi nAbud migardand
/content/tts-engine/gdrive/My Drive/wavs/015009.wav|mA qorAn rA nAzel kardim va mA betor qat? negahdAr Anim
/content/tts-engine/gdrive/My Drive/wavs/015010.wav|mA piS az to niz payAmbarAni dar miyAn emtehAy noxostin ferestAdim
/content/tts-engine/gdrive/My Drive/wavs/015011.wav|hiC payAmbari be sorAq AnhA nemiAmad magar inke u rA masxare mikardand
/content/tts-engine/gdrive/My Drive/wavs/015012.wav|mA inCenin va az har tariq momken qorAn rA be darun delhAy mojremAn rAh midahim
/content/tts-engine/gdrive/My Drive/wavs/015013.wav|amA bA in hAl AnhA be An imAn nemiAvarand raveS aqvAm piSin niz Cenin bud
/content/tts-engine/gdrive/My Drive/wavs/015014.wav|va agar dari az AsemAn be ruy AnAn begoSAyim va AnhA peyvaste dar An bAlA ravand
/content/tts-engine/gdrive/My Drive/wavs/015015.wav|bAz miguyand mA rA CeSmbandi kardeand balke mA sar tA pA sahar Sodeim
/content/tts-engine/gdrive/My Drive/wavs/015016.wav|mA dar AsemAn barjahAyi qarAr dAdim va An rA barAy binandegAn ArAstim
/content/tts-engine/gdrive/My Drive/wavs/015017.wav|va An rA az har SeytAn rAnde Sodei hefz kardim
/content/tts-engine/gdrive/My Drive/wavs/015018.wav|magar An kas ke esterAq sam? konad va dozdAne guS ferA dahad ke SahAb mobayan u rA ta?qib mikand va mirAnad
/content/tts-engine/gdrive/My Drive/wavs/015019.wav|va zamin rA gostardim va dar An kuhhAy sAbeti Afkandim va az har giyAh mozun dar An ruyAndim
/content/tts-engine/gdrive/My Drive/wavs/015020.wav|va barAy SomA anvA? vasA?el zendegi dar An qarAr dAdim hamCenin barAy kasAni ke SomA nemitavAnid be AnhA ruzi dahid
/content/tts-engine/gdrive/My Drive/wavs/015021.wav|va xozA?n hame Ciz tanahA nazd mAst vali mA joz be andAze mo?ayan An rA nAzel nemikanim
/content/tts-engine/gdrive/My Drive/wavs/015022.wav|mA bAdhA rA barAy bArvar sAxtan abrhA va giyAhAn ferestAdim va az AsemAn Abi nAzel kardim va SomA rA bA An sirAb sAxtim dar hAli ke SomA tavAnAyi hefz va negahdAri An rA nadAStid
/content/tts-engine/gdrive/My Drive/wavs/015023.wav|mAyim ke zende mikanim va mimirAnim va mAyim vAres hame jahAn
/content/tts-engine/gdrive/My Drive/wavs/015024.wav|mA ham piSiniyAn SomA rA dAnestim va ham mote?axerAn rA
/content/tts-engine/gdrive/My Drive/wavs/015025.wav|parvardegAr to qat?an
/content/tts-engine/gdrive/My Drive/wavs/015026.wav|mA ensAn rA az gel xoSkidei hamCon sofAl ke az gel bad buy tire rangi gerefte Sode bud Afaridim
/content/tts-engine/gdrive/My Drive/wavs/015027.wav|va jen rA piS az An az AtaS garm va suzAn xalq kardim
/content/tts-engine/gdrive/My Drive/wavs/015028.wav|va be xAter biyAvar hengAmi ke parvardegArt be fereStegAn goft man baSari rA az gol xoSkidei ke az gol badbuyi gerefte Sode miAfarinam
/content/tts-engine/gdrive/My Drive/wavs/015029.wav|hengAmi ke kAr An rA be pAyAn resAndam va dar u az ruh xod yek ruh Sayeste va bozorg damidam hamegi barAy u sajde kanid
/content/tts-engine/gdrive/My Drive/wavs/015030.wav|hame fereStegAn bi estesnA sajde kardand
/content/tts-engine/gdrive/My Drive/wavs/015031.wav|joz eblis ke ebA kord az inke bA sajdekonandegAn bASad
/content/tts-engine/gdrive/My Drive/wavs/015032.wav|xodAvand farmud ey eblis CarA bA sajdekonandegAn nisti
/content/tts-engine/gdrive/My Drive/wavs/015033.wav|goft man hargez barAy baSari ke u rA az gol xoSkidei ke az gol badbuyi gerefte Sode est Afaridei sajde naxAham kord
/content/tts-engine/gdrive/My Drive/wavs/015034.wav|farmud az saf AnhA fereStegAn birun ro ke rAndeSodei az dargAh mA
/content/tts-engine/gdrive/My Drive/wavs/015035.wav|va la?nat va duri az rahmat haq tA ruz qiyAmat bor to xAhad bud
/content/tts-engine/gdrive/My Drive/wavs/015036.wav|goft parvardegArA marA tA ruz rastAxiz mohlat deh va zende begozAr
/content/tts-engine/gdrive/My Drive/wavs/015037.wav|farmud to az mohlat yAftegAni
/content/tts-engine/gdrive/My Drive/wavs/015038.wav|amA noh tA ruz rastAxiz balke tA ruz vaqt mo?ini
/content/tts-engine/gdrive/My Drive/wavs/015039.wav|goft parvardegArA Con marA gomrAh sAxti man ne?mathAye mAdi rA dar zamin dar nazar AnhA zeynat midaham va hamegi rA gomrAh xAham sAxt
/content/tts-engine/gdrive/My Drive/wavs/015040.wav|magar bandegAn maxlesat rA
/content/tts-engine/gdrive/My Drive/wavs/015041.wav|farmud in rAh mostaqimi est ke bor ohde man est va sonat hamiSegim
/content/tts-engine/gdrive/My Drive/wavs/015042.wav|ke bor bandegAnam tasalot naxAhi yAft magar gomrAhAni ke az to peyravi mikanand
/content/tts-engine/gdrive/My Drive/wavs/015043.wav|va duzax mi?AdgAh hame AnhAst
/content/tts-engine/gdrive/My Drive/wavs/015044.wav|haft dar dArad va barAy har dari goruh mo?ini az AnhA taqsim Sodeand
/content/tts-engine/gdrive/My Drive/wavs/015045.wav|be yaqin parhizgArAn dar bAqhAye sarsabz beheSt va dar kenAr CeSmehA hastand
/content/tts-engine/gdrive/My Drive/wavs/015046.wav|fereStegAn be AnhA miguyand dAxele in bAqhA Savid bA salAmat va amniyat
/content/tts-engine/gdrive/My Drive/wavs/015047.wav|har gune qal hasad va kine va doSmani rA az sine AnhA barmikonim va ruheSAn rA pAk misAzim dar hAli ke hame barAbarand va bor taxthA ruberuye yekdigar qarAr dArand
/content/tts-engine/gdrive/My Drive/wavs/015048.wav|hiC xastegi va ta?abi dar AnjA be AnhA nemirasad va hiC gAh az An exrAj nemigardand
/content/tts-engine/gdrive/My Drive/wavs/015049.wav|bandegAnam rA AgAh kan ke man baxSande mehrbAnam
/content/tts-engine/gdrive/My Drive/wavs/015050.wav|va inke azAb va keyfar man hamAn azAb dardnAk est
/content/tts-engine/gdrive/My Drive/wavs/015051.wav|va be AnhA az mehmAnhAy ebrAhim xabar deh
/content/tts-engine/gdrive/My Drive/wavs/015052.wav|hengAmi ke bor u vAred Sodand va salAm kardand ebrAhim goft mA az SomA bimnAkim
/content/tts-engine/gdrive/My Drive/wavs/015053.wav|goftand natars mA to rA be pesari dAnA beSArat midahim
/content/tts-engine/gdrive/My Drive/wavs/015054.wav|goft AyA be man Cenin beSArat midahid bA inke pir Sodeam be Ce Ciz beSArat midahid
/content/tts-engine/gdrive/My Drive/wavs/015055.wav|goftand to rA be haq beSArat dAdim az ma?yusAn mabAS
/content/tts-engine/gdrive/My Drive/wavs/015056.wav|goft joz gomrAhAn Ce kasi az rahmat parvardegAreS ma?yus miSavad
/content/tts-engine/gdrive/My Drive/wavs/015057.wav|sepas goft ma?muriyat SomA Cist ey ferestAdegAn xodA
/content/tts-engine/gdrive/My Drive/wavs/015058.wav|goftand mA be suy qomi gonahkAr ma?muriyat yAfteim tA AnhA rA holAk kanim
/content/tts-engine/gdrive/My Drive/wavs/015059.wav|magar xAndAn lut ke hamegi AnhA rA nejAt xAhim dAd
/content/tts-engine/gdrive/My Drive/wavs/015060.wav|bejoz hamsereS ke moqadar dAStim az bAzmAndegAn dar Sahr va holAkSavandegAn bASad
/content/tts-engine/gdrive/My Drive/wavs/015061.wav|hengAmi ke ferestAdegAn xodA be sorAq xAndAn lut Amadand
/content/tts-engine/gdrive/My Drive/wavs/015062.wav|lut goft SomA goruh nASenAsi hastid
/content/tts-engine/gdrive/My Drive/wavs/015063.wav|goftand mA hamAn Cizi rA barAy to Avardeim ke AnhA kAfarAn dar An tardid dAStand Ari mA ma?mur azAbim
/content/tts-engine/gdrive/My Drive/wavs/015064.wav|mA vAqe?iyat moslemi rA barAy to Avardeim va rAst miguyim
/content/tts-engine/gdrive/My Drive/wavs/015065.wav|pas xAnevAdeat rA dar avAxer Sab bA xod bardAr va az injA bebar va xodat be donbAl AnhA harkat kan va kasi az SomA be poSt sar xiS nanegarad ma?mur hastid beruyad
/content/tts-engine/gdrive/My Drive/wavs/015066.wav|va mA be lut in mozu? rA vahi ferestAdim ke sobhgAhAn hame AnhA riSekon xAhand Sod
/content/tts-engine/gdrive/My Drive/wavs/015067.wav|az suy digar ahl Sahr az vorud mihmAnAn bA xabar Sodand va betaraf xAne lut Amadand dar hAli ke SAdmAn budand
/content/tts-engine/gdrive/My Drive/wavs/015068.wav|lut goft inhA mihmAnAn manand Aberuye marA narizid
/content/tts-engine/gdrive/My Drive/wavs/015069.wav|va az xodA betarsid va marA Sarmande nasAzid
/content/tts-engine/gdrive/My Drive/wavs/015070.wav|goftand magar mA to rA az jahAniyAn nehi nakardim va nagoftim kasi rA be mihmAni napazir
/content/tts-engine/gdrive/My Drive/wavs/015071.wav|goft doxtarAn man hAzerand agar mixAhid kAr sahihi anjAm dahid bA AnhA ezdevAj kanid va az gonAh va Aludegi beparhizid
/content/tts-engine/gdrive/My Drive/wavs/015072.wav|be jAn to sogand inhA dar masti xod sargardAnand va aql va So?ur xod rA az dast dAdeand
/content/tts-engine/gdrive/My Drive/wavs/015073.wav|sar_?anjAm hengAm tolu? AftAb sayha margbAr besorate sA?eqe yA zaminlarze AnhA rA farAgereft
/content/tts-engine/gdrive/My Drive/wavs/015074.wav|sepas Sahr va AbAdi AnhA rA zir va ro kardim bAlAye An rA pAyin qarAr dAdim va bArAni az sang bor AnhA foru rixtim
/content/tts-engine/gdrive/My Drive/wavs/015075.wav|dar in sargozaSt ebratangiz neSAnehAyi est barAy huSyArAn
/content/tts-engine/gdrive/My Drive/wavs/015076.wav|va virAnehAye sarzamin AnhA bor sar rAh kArvAnhA hamvAre sAbet va barqarAr est
/content/tts-engine/gdrive/My Drive/wavs/015077.wav|dar in neSAnei est barAy mo?menAn
/content/tts-engine/gdrive/My Drive/wavs/015078.wav|eshAb elAyke sAhebAn sarzaminhAy porderaxt qom So?ayb mosalaman
/content/tts-engine/gdrive/My Drive/wavs/015079.wav|mA az AnhA enteqAm gereftim va SahrehAy virAn Sode in do qom lut va eshAb al?ike bor sar rAh SomA dar safarhAye SAm ASkAr est
/content/tts-engine/gdrive/My Drive/wavs/015080.wav|va eshAb hojr qom somud payAmbarAn rA takzib kardand
/content/tts-engine/gdrive/My Drive/wavs/015081.wav|mA AyAt xod rA be AnAn dAdim vali AnhA az An ruy gardAnadand
/content/tts-engine/gdrive/My Drive/wavs/015082.wav|AnhA xAnehAye amn dar del kuhA mitarASidand
/content/tts-engine/gdrive/My Drive/wavs/015083.wav|amA sar_?anjAm sayha margbAr sobhgAhAn AnAn rA ferA gereft
/content/tts-engine/gdrive/My Drive/wavs/015084.wav|va AnCe rA be dast Avarde budand AnhA rA az azAb elAhi nejAt nadAd
/content/tts-engine/gdrive/My Drive/wavs/015085.wav|mA AsmAnhA va zamin va AnCe rA miyAn An do est joz behaq nayAfaridim va sA?at mo?ud qiyAmat qat?an
/content/tts-engine/gdrive/My Drive/wavs/015086.wav|be yaqin parvardegAr to Afarinande AgAh est
/content/tts-engine/gdrive/My Drive/wavs/015087.wav|mA be to sure hamd va qorAn azim dAdim
/content/tts-engine/gdrive/My Drive/wavs/015088.wav|banAbar in hargez CeSm xod rA be ne?mathAye mAdi ke be goruhAyi az AnhA kofAr dAdim mayAfkan va bexAtere AnCe AnhA dArand qamgin mabAS va bAl otufat xod rA barAy mumanin forud Ar
/content/tts-engine/gdrive/My Drive/wavs/015089.wav|va begu man enzArkonande ASkAram
/content/tts-engine/gdrive/My Drive/wavs/015090.wav|mA bor AnhA azAbi miferestim hamAn gune ke bor tajziyegarAn AyAt elAhi ferestAdim
/content/tts-engine/gdrive/My Drive/wavs/015091.wav|hamAnhA ke qorAn rA taqsim kardand AnCe rA be sudSAn bud paziroftand va AnCe rA bor xalAf havashAyeSAn bud rahA nomudand
/content/tts-engine/gdrive/My Drive/wavs/015092.wav|be parvardegArt sogand dar qiyAmat az hame AnhA so?Al xAhim kord
/content/tts-engine/gdrive/My Drive/wavs/015093.wav|az AnCe amal mikardand
/content/tts-engine/gdrive/My Drive/wavs/015094.wav|AnCe rA ma?muriyat dAri ASkArA bayAn kan va az moSrekAn ruy gardAn va be AnhA e?tenA nakon
/content/tts-engine/gdrive/My Drive/wavs/015095.wav|mA Sar estehzAkonandegAn rA az to daf? xAhim kord
/content/tts-engine/gdrive/My Drive/wavs/015096.wav|hamAnhA ke ma?bud digari bA xodA qarAr dAdand amA bezudi mifahmand
/content/tts-engine/gdrive/My Drive/wavs/015097.wav|mA midAnim sinet az AnCe AnhA miguyand tang miSavad va to rA saxt nArAhat mikanand
/content/tts-engine/gdrive/My Drive/wavs/015098.wav|barAy daf? nArAhati AnAn parvardegArt rA tasbih va hamd gu va az sajdekonandegAn bAS
/content/tts-engine/gdrive/My Drive/wavs/015099.wav|va parvardegArt rA ebAdat kan tA yaqin marg to ferA rasad
/content/tts-engine/gdrive/My Drive/wavs/016001.wav|farmAn xodA barAy mojAzAt moSrekAn va mojremAn ferA raside est barAy An ajale nakanid monazah va bartar est xodAvand az AnCe hamtAy u qarArAmidahand
/content/tts-engine/gdrive/My Drive/wavs/016002.wav|fereStegAn rA bA ruh elAhi befarmAneS bor har kas az bandegAneS bexAhad nAzel mikand va be AnhA dastur midahad ke mardom rA anzAr kanid va beguyid ma?budi joz man nist az moxAlefat dastur man beparhizid
/content/tts-engine/gdrive/My Drive/wavs/016003.wav|AsmAnhA va zamin rA behaq Afarid u bartar est az inke hamtAyi barAy u qarAr midahand
/content/tts-engine/gdrive/My Drive/wavs/016004.wav|ensAn rA az notfe bi?arzeSi Afarid va sar_?anjAm u mojudi fasih va modAfe? ASkAr az xiStan gardid
